LangR Model,Grounding,Detection,Main,Prediction,Action Grounding,Navigation*,Step-by-step
GPT-5,35.07,12.35,87.40,62.50,28.29,60.53,88.02
GPT-o3,35.17,20.77,95.80,72.96,27.30,59.67,85.57
Claude-4.5-Sonnet,24.96,0.00,64.40,38.27,21.50,43.80,89.00
Gemini-2.5-Flash,30.43,24.08,94.40,71.94,27.55,59.20,77.26
Gemini-2.5-Pro,45.68,59.77,95.40,82.14,30.35,38.80,97.07
LLaVA-OneVision-7B,11.15,8.52,53.00,42.60,0.19,39.53,40.34
InternVL2.5-8B,25.99,1.12,75.00,44.00,12.59,47.53,30.32
InternVL3-8B,29.03,8.62,74.60,48.00,13.10,52.90,69.68
Qwen2.5-VL-7B,21.64,0.00,64.00,36.22,22.04,57.07,79.46
Qwen3-VL-8B,38.41,29.94,91.00,63.27,27.22,60.60,72.13
Ours* (ALFRED-tuned),26.81,58.35,86.60,77.81,47.52,-,77.06
BC (InternVL3-8B),86.59,88.93,100.00,38.78,14.14,73.67,98.04
Ours (InternVL3-8B),86.50,93.20,100.00,100.00,49.84,74.07,99.27
