,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Circles_2c_10d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_10d_1,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
Circles_2c_10d_2,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.0
Circles_2c_10d_3,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_10d_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_50d_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_50d_1,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_50d_2,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_50d_3,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circles_2c_50d_4,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
