Method,Reduction,Synth Win %,Synth Avg Win/Loss %,Real Win %,Real Avg Win/Loss %
PCA,k-1,57.14,458.53,30.77,3.25
PCA,25%,23.81,45.27,35.29,26.76
PCA,50%,57.14,414.19,46.67,57.44
Kernel PCA,k-1,61.54,605.37,33.33,9.94
Kernel PCA,25%,43.75,421.96,35.29,20.63
Kernel PCA,50%,46.67,392.18,58.82,52.04
VAE,k-1,21.05,19.02,26.67,-28.78
VAE,25%,21.62,2.62,25.0,-39.12
VAE,50%,20.0,18.1,22.22,-37.22
Isomap,k-1,41.18,15.43,33.33,15.59
Isomap,25%,24.0,2.07,50.0,33.5
Isomap,50%,43.75,6.28,33.33,38.27
MDS,k-1,41.67,-0.1,30.77,-10.68
MDS,25%,30.77,-1.46,44.44,35.15
MDS,50%,58.33,122.92,46.67,52.67
