Method,Reduction,Win% Synthetic,Win% Real,Avg Win/Loss Synthetic,Avg Win/Loss Real
PCA,k-1,50.0,72.7,0.0,1.7
PCA,25%,25.0,61.5,-2.3,0.6
PCA,50%,25.0,66.7,-0.1,-0.1
Kernel PCA,k-1,56.2,66.7,5.2,13.4
Kernel PCA,25%,45.0,52.9,3.3,7.5
Kernel PCA,50%,71.4,56.2,6.0,8.8
VAE,k-1,8.9,20.0,-63.7,-19.8
VAE,25%,18.9,17.6,-44.4,-35.5
VAE,50%,6.2,17.6,-37.6,-35.1
Isomap,k-1,68.4,73.3,14.0,14.4
Isomap,25%,58.3,52.9,11.7,10.2
Isomap,50%,62.5,61.5,7.9,13.6
MDS,k-1,41.7,60.0,-0.5,-0.8
MDS,25%,8.3,40.0,-3.7,-7.2
MDS,50%,14.3,50.0,-0.4,-4.5
