Method,Reduction,Synth Win%,Real Win%,Synth Avg W/L%,Real Avg W/L%
PCA,k-1,15.28,35.0,-1.57,-2.35
PCA,25%,12.5,30.0,-4.9,-2.7
PCA,50%,15.28,30.0,-2.72,0.0
Kernel PCA,k-1,6.94,35.0,-1.6,-0.15
Kernel PCA,25%,12.5,35.0,-3.62,-2.2
Kernel PCA,50%,16.67,45.0,-1.43,0.25
VAE,k-1,9.72,15.0,-9.5,-15.3
VAE,25%,8.33,20.0,-12.88,-20.6
VAE,50%,6.94,25.0,-9.03,-20.15
Isomap,k-1,23.61,30.0,3.22,-3.15
Isomap,25%,25.0,40.0,-0.82,-4.15
Isomap,50%,25.0,45.0,-6.72,-4.35
MDS,k-1,11.11,20.0,-2.04,-3.95
MDS,25%,9.72,20.0,-4.37,-5.15
MDS,50%,16.67,15.0,-1.46,-3.4
